semg_rms,semg_std,semg_max,angle_mean,angle_std,angle_range,amg_rms,amg_std
145.20953,145.20953,1491.1769,60.344707,34.23671,94.680984,23.180056,23.180056
124.177895,124.177895,1256.101,59.78826,34.423462,93.80899,23.471445,23.471443
116.60603,116.606026,1396.6359,59.192448,34.61096,92.39022,22.281116,22.28112
115.962944,115.962944,1507.3745,58.553673,34.93621,92.977135,19.418148,19.418148
105.98523,105.98523,1559.7485,58.612274,33.97096,89.78136,16.784687,16.784687
100.5303,100.5303,1564.2996,58.676857,33.801624,89.63453,16.652845,16.652845
107.91288,107.91288,1249.3833,58.93857,32.657394,86.439514,16.725708,16.725706
102.45193,102.45193,1068.1722,54.40764,31.540892,96.01452,12.321606,12.321606
106.226524,106.226524,1351.6421,54.377518,32.215927,96.385056,13.785779,13.785779
113.49013,113.49012,1472.8386,54.396217,31.922419,96.38184,13.187727,13.187727
110.2727,110.272705,1305.9946,54.6913,31.803244,95.32376,12.845932,12.845932
90.56799,90.567986,1366.177,53.884686,28.422314,97.02759,65.7588,65.758804
89.9524,89.9524,1584.9114,53.78944,27.805973,94.94574,65.991135,65.991135
90.10841,90.10841,1368.4421,53.543465,28.17327,97.21998,70.70221,70.70221
87.973404,87.973404,1605.8145,53.273643,27.887262,93.90874,77.74378,77.74378
